Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2016,S,SHK,WHALE SHARK,7,0,1,77,1,0.012987013,0,2.5,132.5
2016,S,SHK,WHALE SHARK,34,0,3,2201,3,0.001363017,0,2.5,137.5
2016,S,SHK,WHALE SHARK,68,0,7,864,9,0.010416667,0,2.5,142.5
2016,S,SHK,WHALE SHARK,73,0,4,499,4,0.008016032,0,2.5,147.5
2016,S,SHK,WHALE SHARK,108,1,16,1173,18,0.015345269,0.000852515,2.5,152.5
2016,S,SHK,WHALE SHARK,125,0,9,1221,9,0.007371007,0,2.5,157.5
2016,S,SHK,WHALE SHARK,145,0,9,2002,10,0.004995005,0,2.5,167.5
2016,S,SHK,WHALE SHARK,107,0,2,1025,2,0.00195122,0,2.5,172.5
2016,S,SHK,WHALE SHARK,108,0,6,1028,6,0.005836576,0,2.5,177.5
2016,S,SHK,WHALE SHARK,10,0,3,24,3,0.125,0,7.5,-172.5
2016,S,SHK,WHALE SHARK,42,0,2,156,2,0.012820513,0,7.5,152.5
2016,S,SHK,WHALE SHARK,50,0,2,161,2,0.01242236,0,7.5,157.5
2016,S,SHK,WHALE SHARK,55,0,1,188,1,0.005319149,0,7.5,167.5
2016,S,SHK,WHALE SHARK,58,0,7,279,7,0.025089606,0,7.5,172.5
2016,S,SHK,WHALE SHARK,51,0,2,215,2,0.009302326,0,7.5,177.5
2017,S,SHK,WHALE SHARK,11,0,1,38,1,0.026315789,0,-12.5,-177.5
2017,S,SHK,WHALE SHARK,24,0,8,188,8,0.042553191,0,-12.5,157.5
2017,S,SHK,WHALE SHARK,26,0,1,70,1,0.014285714,0,-12.5,162.5
2017,S,SHK,WHALE SHARK,28,0,2,131,2,0.015267176,0,-12.5,167.5
2017,S,SHK,WHALE SHARK,92,0,2,914,2,0.002188184,0,-7.5,-177.5
2017,S,SHK,WHALE SHARK,48,0,2,476,2,0.004201681,0,-7.5,-172.5
2017,S,SHK,WHALE SHARK,58,0,4,790,4,0.005063291,0,-7.5,-167.5
2017,S,SHK,WHALE SHARK,26,0,1,291,1,0.003436426,0,-7.5,-157.5
2017,S,SHK,WHALE SHARK,9,0,1,26,1,0.038461538,0,-7.5,-147.5
2017,S,SHK,WHALE SHARK,78,0,25,993,28,0.028197382,0,-7.5,152.5
