assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
50363892,13242,Mesoplodon bowdoini,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,bowdoini,,,,"Andrews, 1908",Data Deficient,,3.1,Unknown,Global
50364109,13243,Mesoplodon carlhubbsi,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,carlhubbsi,,,,"Moore, 1963",Data Deficient,,3.1,Unknown,Global
50364253,13244,Mesoplodon densirostris,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,densirostris,,,,"(Blainville, 1817)",Least Concern,,3.1,Unknown,Global
50365198,13245,Mesoplodon europaeus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,europaeus,,,,"(Gervais, 1855)",Least Concern,,3.1,Unknown,Global
50366236,13247,Mesoplodon grayi,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,grayi,,,,"Von Haast, 1876",Least Concern,,3.1,Unknown,Global
50366525,13248,Mesoplodon hectori,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,hectori,,,,"(Gray, 1871)",Data Deficient,,3.1,Unknown,Global
50366790,13249,Mesoplodon layardii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,layardii,,,,"(Gray, 1865)",Least Concern,,3.1,Unknown,Global
50367335,13251,Mesoplodon peruvianus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,peruvianus,,,,"Reyes, Mead &amp; Van Waerebeek, 1991",Least Concern,,3.1,Unknown,Global
50367496,13252,Mesoplodon stejnegeri,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,stejnegeri,,,,"True, 1885",Near Threatened,A4b,3.1,Decreasing,Global
50367651,13704,Monodon monoceros,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,MONODONTIDAE,Monodon,monoceros,,,,"Linnaeus, 1758",Least Concern,,3.1,Unknown,Global
50368125,15421,Orcinus orca,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Orcinus,orca,,,,"(Linnaeus, 1758)",Data Deficient,,3.1,Unknown,Global
50369125,16564,Peponocephala electra,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Peponocephala,electra,,,,"(Gray, 1846)",Least Concern,,3.1,Unknown,Global
